instagram_hashtag,firm_account,brand_full_name
abercrombie,abercrombie, Abercrombie & Fitch
adidas,adidas, Adidas
anntaylor,anntaylor, Ann Taylor
bacardi,bacardiusa, Bacardi
bananarepublic,bananarepublic, Banana Republic
bigelow,bigelowtea, Bigelow`s Tea
budlight,budlight, Bud Light
budweiser,budweiser, Budweiser
carhartt,carhartt, Carhartt
cocacola,cocacola, Coca-Cola
converse,converse, Converse
coorslight,coorslight, Coors Light
corona,corona, Corona
dockers,dockerskhakis, Dockers
dolcegabbana,dolcegabbana, Dolce & Gabbana
domperignon,domperignon, Dom Perignon
drpepper,drpepper, Dr Pepper
eddiebauer,eddiebauer, Eddie Bauer
fanta,fanta, Fanta
gap,gap, Gap
gatorade,gatorade, Gatorade
greygoose,greygoose, Grey Goose
gucci,gucci, Gucci
guess,guess, Guess
hanes,hanesbrasil, Hanes
hollister,hollisterco, Hollister
honesttea,honesttea, Honest Tea
jackdaniels,jackdaniels_us, Jack Daniel`s
jcrew,jcrew, J. Crew
joeboxer,joeboxerlicky, Joe Boxer
juicycouture,juicycouture, Juicy Couture
kennethcole,kennethcole, Kenneth Cole
korbel,korbel_1882, Korbel
levis,levis, Levi`s
lipton,lipton, Lipton
llbean,llbean, L.L. Bean
luckybrand,luckybrandme, Lucky Brand Jeans
moetchandon,moetchandon, Moet & Chandon
monsterenergy,monsterenergy, Monster (drink)
nesquik,nesquikusa, NesQuik
oldnavy,oldnavy, Old Navy
oshkosh,oshkoshkids, OshKosh
prada,prada, Prada
ralphlauren,ralphlauren, Ralph Lauren
sanpellegrino,sanpellegrino_official, San Pellegrino
snapple,snapple, Snapple
tazo,tazo, Tazo
tommyhilfiger,tommyhilfiger, Tommy Hilfiger
underarmour,underarmour, Under Armour
urbanoutfitters,urbanoutfitters, Urban Outfitters
victoriassecret,victoriassecret, Victoria`s Secret
vitaminwater,vitaminwater, vitaminwater
welchs,welchs, Welch`s
minutemaid,, Minute Maid
motts,, Mott`s
swissmiss,, Swiss Miss
